CustomerID,Name,Age,MonthlyBill,DataUsageGB,ContractMonths,DevicesOwned,Exited,PhoneNumber,EmailAddress,City,State,ZipCode,PlanType,TotalSpent,CustomerSince,LastInteraction
1616ab20-0dd5-43bb-a57c-62b57a4d3886,Karen Wilson,29,195.7,4.53,12,2,1,635-202-1002x5152,samanthasparks@example.org,North Donna,Kentucky,16336,Standard,612.42,2021-11-02,2023-01-30
0d46fa0e-7bb9-4338-9633-90e2731c69f6,Haley Benson,25,100.71,6.32,12,5,0,001-990-507-9036x985,justintucker@example.com,Lake Ashley,South Dakota,01958,Premium,528.82,2020-04-05,2023-01-04
15849c43-75e3-46fa-b1ec-e589758552c3,Troy Friedman,63,179.56,8.44,24,2,0,(755)329-2708x74703,alyssa08@example.net,Johnsonmouth,Delaware,39715,Premium,710.03,2019-05-22,2022-11-16
febd1d22-6358-4b2d-9a4e-f33e5833391d,Lisa Moore,62,121.1,3.81,24,1,0,+1-900-342-7352x40670,amandawhitehead@example.com,East Anthonybury,Alabama,87890,Basic,119.19,2020-10-24,2023-02-21
58a0a76b-2a68-45ed-b512-b64a31e5094a,Ryan Garrison,27,108.99,6.59,36,3,1,(351)367-6820x10664,wcollins@example.com,Williamston,South Carolina,79380,Basic,642.76,2021-06-17,2023-04-15
b67577b7-7c3b-45a2-ac08-a7a341677e9d,Janet King,70,59.17,9.21,36,2,0,789-990-8197,coxevelyn@example.org,Richardfort,Alabama,75787,Standard,905.37,2019-09-27,2023-07-03
93011064-c1d0-44ff-8e31-5ece4b5cdbd0,Jennifer Jones,62,58.66,3.84,36,5,0,531.386.1014x1939,clarkashley@example.net,West Haydenland,Maine,88758,Standard,219.94,2020-04-01,2022-12-05
d0b4cb10-95cf-4ad2-b87b-da1bfeef5102,Bryan Clements,43,126.18,9.71,36,2,1,938.424.8733,tyler44@example.net,New Michael,Mississippi,58511,Standard,759.88,2019-06-29,2023-05-10
e427b96f-d89a-4dd8-841f-f50a672242a1,Dillon Gallegos,48,68.22,5.12,12,4,1,592-434-1863x52747,mercedes39@example.net,Ayalaport,Mississippi,39913,Standard,619.05,2023-09-24,2022-10-10
4c951303-8d84-468f-b963-f35502b776ec,James Blankenship,65,163.48,2.29,24,4,1,001-703-843-1659,amandaramirez@example.org,Bradleyborough,Mississippi,25800,Basic,315.01,2021-12-31,2022-11-18
